Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp,FlowId,ClientId,Fqdn
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52837,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52839,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52840,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52843,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52844,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52847,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52848,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52849,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52853,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52854,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52855,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52857,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52861,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52863,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52865,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,52867,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,53430,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54159,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54792,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54794,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54795,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54797,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54799,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54803,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54806,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54810,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54812,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54814,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54816,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54818,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54820,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54822,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54826,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54828,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54830,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54832,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,54834,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,55744,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,55746,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56629,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56742,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56744,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56746,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56748,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56750,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56752,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56754,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56756,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56759,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56761,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56763,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56765,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56767,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,56769,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57324,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57328,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57330,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57334,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57336,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57338,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
